,title,URL,Thumbnail URL,Thumbnail image src,Channel Name,Description
0,NBA YoungBoy - I Hate YoungBoy,https://www.youtube.com/watch?v=k-PaOWxvnz0,https://i.ytimg.com/vi/k-PaOWxvnz0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXogkBpVWll9aKzN74NkBHzP6uEQ,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""864aeffd-6891-45aa-bcdd-46d16ca53a61"")>",YoungBoy Never Broke Again,I hate YoungBoy he always talking shit ha ha!!!!
1,Lil Durk - AHHH HA (Official Music Video),https://www.youtube.com/watch?v=_q6go0G49A0,https://i.ytimg.com/vi/_q6go0G49A0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBxILMvpWOmMfQMwifZy3VRK9HHeA,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""37613767-45f9-4b8f-960f-fd58e6bbb89a"")>",Lil Durk,"Pre-order the upcoming album, 7220, from Lil Durk now: https://lildurk.lnk.to/7220 Listen to ""AHHH HA"", available now: https://lildurk.lnk.to/7220 Merch: https://otfgear.com/ Follow Lil..."
2,When The Teacher Leaves The Class #Shorts,https://www.youtube.com/watch?v=3BapyQb_7WY,https://i.ytimg.com/vi/3BapyQb_7WY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbC8ZdERGfUNfmUpVpoY4GCPmddw,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""e42092c0-e935-459b-8e55-8720ca148b2f"")>",Luke Davidson,When The Teacher Leaves The Class #Shorts
3,I *very* strongly recommend: Elden Ring (Review - Spoiler Free),https://www.youtube.com/watch?v=gfcJv3oZNcc,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""291a0f0d-6ae0-4f00-90f0-0ebdfcd58f47"")>",Skill Up,Everyone gets 16% off Elden Ring through Green Man Gaming but new customers get 18% off when you use offer code SKILLUP18 at checkout. Visit https://bit.ly/3p4gQ3a (offer only available in...
4,Elden Ring Review,https://www.youtube.com/watch?v=0uav6zQKiMQ,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""c6ac66cf-9c1f-4b74-ae40-bd6cf45714bc"")>",IGN,"Watch our Elden Ring review. Elden Ring is a massive iteration on what FromSoftware began with the Souls series, bringing its relentlessly challenging combat to an incredible open world that..."
5,TikToks That INFURIATE Doctors,https://www.youtube.com/watch?v=psIy1OPGoRk,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""e665fe5b-0fb3-468c-988e-9be5da8d7c36"")>",Doctor Mike,"COME SEE ME ON TOUR: http://www.doctormikelive.com In this video we take a look at some tiktoks that make me question my future in medicine. Well, not really, but it feels like that. Today..."
6,Kodak Black - I Wish [Official Music Video],https://www.youtube.com/watch?v=92w6nmA5NVE,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""b4545834-eb43-438f-ba00-849f932f89db"")>",Kodak Black,Kodak Black - I Wish [Music Video] Pre-Order/Pre-Save 'Back For Everything' Album - Drops 2/25 - https://kodak.lnk.to/BackForEverything Grinding All Season Video - https://youtu.be/8thpVH-K4S0...
7,HE DISSED EVERYBODY!!!!! NBA YoungBoy - I Hate YoungBoy REACTION!!!!!,https://www.youtube.com/watch?v=wSo9XIq2XJk,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""215a1f72-8978-471c-961c-19de34b27da0"")>",Snordatdude,"merch site - https://snorgang.bigcartel.com/ merch ig - https://www.instagram.com/snorgangmerch/ Bussiness email- snordatdude1@gmail.com Let's aim for 10,000 likes this video. My reaction..."
8,The Fairly OddParents: Fairly Odder | Trailer | Paramount+,https://www.youtube.com/watch?v=yFeVZwfl0eg,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""b2316acc-f428-47ac-a4f6-0b2138ca36a5"")>",Paramount Plus,Cosmo and Wanda are back! An all-new live action Fairly OddParents series is streaming March 31 exclusively on Paramount+. Try It Free! https://bit.ly/3sRdul9 Follow Paramount+ for the latest...
9,Poppy Playtime: Chapter 2 - Official Game Trailer,https://www.youtube.com/watch?v=XVENjm3Bjk0,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""c8e2255a-c468-498a-8d5f-0e4e4ac64cb1"")>",MOB Games,"PLAY CHAPTER 1: https://store.steampowered.com/app/1721470/Poppy_Playtime/ You must stay alive in this unique, horror-puzzle adventure. Try to survive the vengeful toys waiting for you in..."
10,"NBA Youngboy Disses Lil Durk, King Von, OTF Nuski, Boosie, Gucci Mane, 4PF, Lil Durk Dad, India ...",https://www.youtube.com/watch?v=zEtQLwGnXfY,,"<selenium.webdriver.remote.webelement.WebElement (session=""308db5dd5de83d98350c944d50a556f2"", element=""449e8a46-7322-4af3-a53e-bd3ef22571da"")>",DJ Akademiks,"Listen to my new song called 'HYPE BEAST' here . https://lilak.lnk.to/hypebeast DJ Akademiks Speaks on NBA Youngboy DissingLil Durk, King Von, OTF Nuski, Boosie, Gucci Mane, 4PF, Lil Durk..."
